QUESTIONARIO;PESQUISADOR;INICIO COLETA;FIM COLETA;P0001-REGIÃO;P0006-SEXO;P0007-FAIXA ETÁRIA;P0008-ESCOLARIDADE;P0009-DIA 28 TEREMOS ELEIÇÃO DE SEGUNDO TURNO PARA PRESIDENTE DO BRASIL E GOVERNADOR DE CAFUÇU. GOSTARIA DE SABER QUAL É O SEU INTERESSE PELAS ELEIÇÕES DESTE ANO? (ESTIMULADA RU);P0010-EM RELAÇÃO AO SEU VOTO PARA GOVERNADOR DE CAFUÇU, O (A) SR. (A) DIRIA QUE: (RU ESTIMULADA);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(A);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(B);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(C);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(D);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(E);P0011-EM QUAIS DESTES MEIOS DE COMUNICAÇÃO O (A) SR. (A) TEM ASSISTIDO OU OUVIDO A PROPAGANDA POLÍTICA DESTA ELEIÇÃO? (RM ESTIMULADA)(F);P0012-(APENAS PARA QUEM ASSISTE/OUVE) QUAL DESSES CANDIDATOS A GOVERNADOR APRESENTOU AS MELHORES PROPOSTAS PARA CAFUÇU? (RU ESTIMULADA);P0013-SE AS ELEIÇÕES PARA GOVERNADOR DE CAFUÇU FOSSEM HOJE, EM QUAL DESTES CANDIDATOS O (A) SR. (A) VOTARIA? (ESTIMULADA RU);P0014-SOBRE A GESTÃO DO GOVERNADOR PESCOÇO GROSSO, COMO VOCÊ AVALIA A SUA ADMINISTRAÇÃO? (RU ESTIMULADA);P0015-E SOBRE A FORMA DE ADMINISTRAR DO GOVERNADOR PESCOÇO GROSSO, VOCÊ APROVA OU DESAPROVA? (RU ESTIMULADA);P0016-TAMBÉM AVALIANDO A GESTÃO DE PESCOÇO GROSSO, QUAL DAS SEGUINTES FRASES MELHOR REPRESENTA A SUA OPINIÃO SOBRE A GESTÃO DO GOVERNADOR? (RU ESTIMULADA);P0017-DIA 28 TEREMOS ELEIÇÃO PARA PRESIDENTE DO BRASIL, EM QUAL DESTES CANDIDATOS VOCÊ VOTARIA? (ESTIMULADA RU);P0018-(APENAS PARA BOLSONARO) SE JAIR BOLSONARO APOIAR FILHO DE PAPAI PARA GOVERNADOR DE CAFUÇU, VOCÊ VOTARIA EM FILHO DE PAPAI? (RU ESTIMULADA);P0019-EM QUAL DESTES CANDIDATOS A GOVERNADOR VOCÊ VOTOU NO PRIMEIRO TURNO? (RU ESTIMULADA);P0020-(APENAS PARA FILHO DE PAPAI) ESTÃO CONVICTOS DE REPETIR O VOTO EM FILHO DE PAPAI NO SEGUNDO TURNO? (RU ESTIMULADA);P0021-(APENAS PARA PESCOÇO GROSSO) ESTÃO CONVICTOS DE REPETIR O VOTO EM PESCOÇO GROSSO NO SEGUNDO TURNO? (RU ESTIMULADA);P0022-SE O SENADOR ELEITO FICHA LIMPA APOIAR FILHO DE PAPAI PARA GOVERNADOR DE CAFUÇU, VOCÊ VOTARIA EM FILHO DE PAPAI NESTE SEGUNDO TURNO? (RU ESTIMULADA)
3287;T354614070044599;2018-10-26 13:05:18.0;2018-10-26 13:07:46.0;0003-LESTE;0001-FEMININO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
3288;T357110073297430;2018-10-26 12:56:39.0;2018-10-26 13:04:51.0;0002-AGRESTE;0002-MASCULINO;0003-25 A 34 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0003-OUTRO;null-null;null-null;0001-VOTARIA COM CERTEZA
3289;T357110073297430;2018-10-26 13:06:20.0;2018-10-26 13:08:43.0;0002-AGRESTE;0001-FEMININO;0005-45 A 59 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0001-ÓTIMO;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
3290;T353520075706572;2018-10-26 12:44:53.0;2018-10-26 12:47:55.0;0001-SERTÃO;0001-FEMININO;0005-45 A 59 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
3291;T353520075706572;2018-10-26 12:49:15.0;2018-10-26 12:51:18.0;0001-SERTÃO;0002-MASCULINO;0005-45 A 59 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0002-TELEVISÃO;;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0002-DESAPROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0003-OUTRO;null-null;null-null;0001-VOTARIA COM CERTEZA
3292;T351880091460378;2018-10-26 12:45:39.0;2018-10-26 12:49:36.0;0001-SERTÃO;0002-MASCULINO;0003-25 A 34 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;0006-YOUTUBE;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0004-RUIM;0002-DESAPROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0003-OUTRO;null-null;null-null;0001-VOTARIA COM CERTEZA
3293;T351880091460378;2018-10-26 12:50:53.0;2018-10-26 12:57:13.0;0001-SERTÃO;0002-MASCULINO;0003-25 A 34 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;0006-YOUTUBE;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
3294;T351880091460378;2018-10-26 13:07:36.0;2018-10-26 13:11:04.0;0001-SERTÃO;0001-FEMININO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0002-PODERÁ MUDAR O VOTO;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0002-DESAPROVO;0004-ELE ESTÁ DEMORANDO PARA MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0003-NÃO VOTARIA DE JEITO NENHUM;0004-NENHUM DELES;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
3295;T358953080998238;2018-10-26 09:00:39.0;2018-10-26 09:06:10.0;0001-SERTÃO;0001-FEMININO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0001-ÓTIMO;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0002-PESCOÇO GROSSO (PSD);null-null;0003-TALVEZ;0002-TALVEZ VOTARIA
3296;T358953080998238;2018-10-26 09:13:15.0;2018-10-26 09:16:03.0;0001-SERTÃO;0001-FEMININO;0005-45 A 59 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
3297;T358953080998238;2018-10-26 09:18:10.0;2018-10-26 09:20:40.0;0001-SERTÃO;0001-FEMININO;0005-45 A 59 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;0004-INSTAGRAN;0005-WHATSAPP;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
3298;T358953080998238;2018-10-26 09:34:29.0;2018-10-26 09:36:59.0;0001-SERTÃO;0001-FEMININO;0003-25 A 34 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0003-OUTRO;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
3299;T358953080998238;2018-10-26 09:58:50.0;2018-10-26 10:03:20.0;0001-SERTÃO;0002-MASCULINO;0004-35 A 44 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0004-NÃO SABE;0003-REGULAR;0004-NÃO RESPONDEU;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0003-OUTRO;null-null;null-null;0001-VOTARIA COM CERTEZA
3300;T358953080998238;2018-10-26 10:09:28.0;2018-10-26 10:50:07.0;0001-SERTÃO;0002-MASCULINO;0006-60 A 69 ANOS;0001-ANALFABETO/LÊ E ESCREVE;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0001-FILHO DE PAPAI (PSB);0002-NÃO;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
3301;T358953080998238;2018-10-26 10:59:32.0;2018-10-26 11:03:13.0;0001-SERTÃO;0002-MASCULINO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0001-ÓTIMO;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0003-OUTRO;null-null;null-null;0001-VOTARIA COM CERTEZA
3302;T358953080998238;2018-10-26 11:05:45.0;2018-10-26 12:09:26.0;0001-SERTÃO;0002-MASCULINO;0004-35 A 44 ANOS;0001-ANALFABETO/LÊ E ESCREVE;0002-POUCO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0002-TALVEZ VOTARIA;0003-OUTRO;null-null;null-null;0002-TALVEZ VOTARIA
3303;T358953080998238;2018-10-26 12:13:04.0;2018-10-26 12:14:52.0;0001-SERTÃO;0002-MASCULINO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0002-FERNANDO HADDAD (PT);null-null;0003-OUTRO;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
3304;T358953080998238;2018-10-26 12:50:00.0;2018-10-26 12:57:36.0;0001-SERTÃO;0001-FEMININO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0006-NENHUMA DELAS;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0002-TALVEZ VOTARIA
3305;T358953080998238;2018-10-26 13:07:59.0;2018-10-26 13:12:34.0;0001-SERTÃO;0001-FEMININO;0006-60 A 69 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
3306;T356348099376264;2018-10-25 12:29:33.0;2018-10-26 09:34:38.0;0002-AGRESTE;0001-FEMININO;0004-35 A 44 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0001-ÓTIMO;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
3307;T356348099376264;2018-10-26 09:37:25.0;2018-10-26 09:39:40.0;0002-AGRESTE;0002-MASCULINO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0003-NENHUM DELES;null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
3308;T356348099376264;2018-10-26 09:43:24.0;2018-10-26 09:46:12.0;0002-AGRESTE;0001-FEMININO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0003-NÃO VOTARIA DE JEITO NENHUM;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
3309;T356348099376264;2018-10-26 10:06:08.0;2018-10-26 10:08:46.0;0002-AGRESTE;0002-MASCULINO;0004-35 A 44 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0004-ELE ESTÁ DEMORANDO PARA MOSTRAR TRABALHO;0004-NÃO SABE;null-null;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
3310;T356348099376264;2018-10-26 10:15:35.0;2018-10-26 10:17:51.0;0002-AGRESTE;0002-MASCULINO;0005-45 A 59 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;0006-YOUTUBE;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0001-ÓTIMO;0001-APROVO;0001-ELE JÁ CONSEGUIU MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
3311;T356348099376264;2018-10-26 11:03:56.0;2018-10-26 11:21:06.0;0002-AGRESTE;0001-FEMININO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
3312;T356348099376264;2018-10-26 11:32:01.0;2018-10-26 12:06:35.0;0002-AGRESTE;0001-FEMININO;0006-60 A 69 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0001-RÁDIO;0002-TELEVISÃO;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0002-BOM;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0001-FILHO DE PAPAI (PSB);0003-TALVEZ;null-null;0002-TALVEZ VOTARIA
3313;T356348099376264;2018-10-26 12:14:36.0;2018-10-26 12:19:29.0;0002-AGRESTE;0001-FEMININO;0002-18 A 24 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0002-BOM;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);0003-TALVEZ;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
3314;T356348099376264;2018-10-26 12:44:32.0;2018-10-26 12:45:12.0;0002-AGRESTE;0001-FEMININO;0005-45 A 59 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0001-RÁDIO;0002-TELEVISÃO;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0001-FILHO DE PAPAI (PSB);0003-TALVEZ;null-null;0002-TALVEZ VOTARIA
3315;T356348099376264;2018-10-26 12:46:15.0;2018-10-26 12:47:18.0;0002-AGRESTE;0002-MASCULINO;0006-60 A 69 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0002-PODERÁ MUDAR O VOTO;0001-RÁDIO;0002-TELEVISÃO;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0001-FILHO DE PAPAI (PSB);0003-TALVEZ;null-null;0002-TALVEZ VOTARIA
3316;T356348099376264;2018-10-26 12:59:40.0;2018-10-26 13:02:10.0;0002-AGRESTE;0002-MASCULINO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;;;;;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0001-JAIR BOLSONARO (PSL);0001-VOTARIA COM CERTEZA;0003-OUTRO;null-null;null-null;0001-VOTARIA COM CERTEZA
3317;T356348099376264;2018-10-26 13:07:30.0;2018-10-26 13:10:20.0;0002-AGRESTE;0002-MASCULINO;0004-35 A 44 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0003-OUTRO;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
3318;T356348099376264;2018-10-26 13:14:29.0;2018-10-26 13:16:53.0;0002-AGRESTE;0001-FEMININO;0005-45 A 59 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0002-ELE AINDA NÃO TEVE TEMPO PARA MOSTRAR O SEU TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0004-NENHUM DELES;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
3319;T351829091268638;2018-10-27 08:30:25.0;2018-10-27 08:34:30.0;0001-SERTÃO;0002-MASCULINO;0005-45 A 59 ANOS;0004-SUPERIOR INCOMPLETO/COMPLETO;0001-MUITO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0001-RÁDIO;0002-TELEVISÃO;0003-FACEBOOK;0004-INSTAGRAN;0005-WHATSAPP;0006-YOUTUBE;0001-FILHO DE PAPAI (PSB);0001-FILHO DE PAPAI (PSB);0005-PÉSSIMO;0002-DESAPROVO;0005-ELE NÃO MOSTROU E NEM VAI MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0001-FILHO DE PAPAI (PSB);0001-SIM;null-null;0001-VOTARIA COM CERTEZA
3320;T351829091268638;2018-10-27 08:36:05.0;2018-10-27 08:38:25.0;0001-SERTÃO;0001-FEMININO;0003-25 A 34 ANOS;0002-FUNDAMENTAL INCOMPLETO/COMPLETO;0003-NADA INTERESSADO;0003-NÃO SABE;0002-TELEVISÃO;;;;;;0002-PESCOÇO GROSSO (PSD);0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0004-ELE ESTÁ DEMORANDO PARA MOSTRAR TRABALHO;0002-FERNANDO HADDAD (PT);null-null;0003-OUTRO;null-null;null-null;0003-NÃO VOTARIA DE JEITO NENHUM
3321;T351829091268638;2018-10-27 09:04:11.0;2018-10-27 09:06:13.0;0001-SERTÃO;0001-FEMININO;0003-25 A 34 ANOS;0003-MÉDIO INCOMPLETO/COMPLETO;0002-POUCO INTERESSADO;0001-ESTÁ DECIDIDO, NÃO MUDARÁ;0007-NÃO ASSISTI/OUVI;;;;;;null-null;0002-PESCOÇO GROSSO (PSD);0003-REGULAR;0001-APROVO;0003-ELE PRECISA MOSTRAR TRABALHO NO ESTADO;0002-FERNANDO HADDAD (PT);null-null;0002-PESCOÇO GROSSO (PSD);null-null;0001-SIM;0003-NÃO VOTARIA DE JEITO NENHUM
